COLL_NOM,COLL_SIRET,JOUR,ANNEE 2020,ANNEE 2021,ANNEE 2022,ANNEE 2023,ANNEE 2024
Antibes,21060004500012,1-janv.,,,,,
Antibes,21060004500012,2-janv.,,,,,
Antibes,21060004500012,3-janv.,,,,,13.6
Antibes,21060004500012,4-janv.,,,,,
Antibes,21060004500012,5-janv.,,,,15.3,
Antibes,21060004500012,6-janv.,,12.8,,,
Antibes,21060004500012,7-janv.,,,,,
Antibes,21060004500012,8-janv.,,,,,
Antibes,21060004500012,9-janv.,,,,,14.2
Antibes,21060004500012,10-janv.,,,,,
Antibes,21060004500012,11-janv.,,,,13.2,
Antibes,21060004500012,12-janv.,,,13.5,,
Antibes,21060004500012,13-janv.,,,,,
Antibes,21060004500012,14-janv.,,,,,
Antibes,21060004500012,15-janv.,,,,,
Antibes,21060004500012,16-janv.,,,,,13.6
Antibes,21060004500012,17-janv.,,,,,
Antibes,21060004500012,18-janv.,,,,14.2,
Antibes,21060004500012,19-janv.,,,13.2,,
Antibes,21060004500012,20-janv.,,12,,,
Antibes,21060004500012,21-janv.,,,,,
Antibes,21060004500012,22-janv.,,,,,
Antibes,21060004500012,23-janv.,,,,,13.5
Antibes,21060004500012,24-janv.,,,,,
Antibes,21060004500012,25-janv.,,,,13.2,
Antibes,21060004500012,26-janv.,,,12.6,,
Antibes,21060004500012,27-janv.,,11,,,
Antibes,21060004500012,28-janv.,,,,,
Antibes,21060004500012,29-janv.,,,,,
Antibes,21060004500012,30-janv.,,,,,
Antibes,21060004500012,31-janv.,,,,,
Antibes,21060004500012,1-fevr,,,,12.6,13.6
Antibes,21060004500012,2-fevr,,,12.8,,
Antibes,21060004500012,3-fevr,,12.2,,,
Antibes,21060004500012,4-fevr,,,,,
Antibes,21060004500012,5-febr,,,,,
Antibes,21060004500012,6-fevr,,,,,13.4
Antibes,21060004500012,7-fevr,,,,,
Antibes,21060004500012,8-fevr,,,,12.5,
Antibes,21060004500012,9-fevr,,,,,
Antibes,21060004500012,10-fevr,,,13.5,,
Antibes,21060004500012,11-fevr,,,,,
Antibes,21060004500012,12-fevr,,,,,
Antibes,21060004500012,13-fevr,,,,,13.3
Antibes,21060004500012,14-fevr,,,,,
Antibes,21060004500012,15-fevr,,,12.7,13,
Antibes,21060004500012,16-fevr,,,,,
Antibes,21060004500012,17-fevr,,12.2,,,
Antibes,21060004500012,18-fevr,,,,,
Antibes,21060004500012,19-fevr,,,,,
Antibes,21060004500012,20-fevr,,,,,14.5
Antibes,21060004500012,21-fevr,,,,,
Antibes,21060004500012,22-fevr,,,,13.8,
Antibes,21060004500012,23-fevr,,,13.2,,
Antibes,21060004500012,24-fevr,,13.2,,,
Antibes,21060004500012,25-fevr,,,,,
Antibes,21060004500012,26-fevr,,,,,
Antibes,21060004500012,27-fevr,,,,,
Antibes,21060004500012,28-fevr,,,,,
Antibes,21060004500012,1-mars,,,,13.3,
Antibes,21060004500012,2-mars,,,13.1,,
Antibes,21060004500012,3-mars,,12.9,,,
Antibes,21060004500012,4-mars,,,,,
Antibes,21060004500012,5-mars,,,,,
Antibes,21060004500012,6-mars,,,,,14.1
Antibes,21060004500012,7-mars,,,,,
Antibes,21060004500012,8-mars,,,,13.4,
Antibes,21060004500012,9-mars,,,13.2,,
Antibes,21060004500012,10-mars,,13.4,,,
Antibes,21060004500012,11-mars,,,,,
Antibes,21060004500012,12-mars,,,,,13.6
Antibes,21060004500012,13-mars,,,,,
Antibes,21060004500012,14-mars,,,,,
Antibes,21060004500012,15-mars,,,,13.2,
Antibes,21060004500012,16-mars,,,13.3,,
Antibes,21060004500012,17-mars,,13.6,,,
Antibes,21060004500012,18-mars,,,,,
Antibes,21060004500012,19-mars,,,,,
Antibes,21060004500012,20-mars,,,,,
Antibes,21060004500012,21-mars,,,,,16.3
Antibes,21060004500012,22-mars,,,,14,
Antibes,21060004500012,23-mars,,,13.6,,
Antibes,21060004500012,24-mars,,13.7,,,
Antibes,21060004500012,25-mars,,,,,
Antibes,21060004500012,26-mars,,,,,
Antibes,21060004500012,27-mars,,,,,14.5
Antibes,21060004500012,28-mars,,,,,
Antibes,21060004500012,29-mars,,,,13.4,
Antibes,21060004500012,30-mars,,,,,
Antibes,21060004500012,31-mars,,13.9,13.9,,
Antibes,21060004500012,1-avr.,,,,,
Antibes,21060004500012,2-avr.,,,,,
Antibes,21060004500012,3-avr.,,,,,14.8
Antibes,21060004500012,4-avr.,,,,,
Antibes,21060004500012,5-avr.,,,,13.5,
Antibes,21060004500012,6-avr.,,,13.4,,
Antibes,21060004500012,7-avr.,,14.1,,,
Antibes,21060004500012,8-avr.,,,,,
Antibes,21060004500012,9-avr.,,,,,
Antibes,21060004500012,10-avr.,,,,,15.3
Antibes,21060004500012,11-avr.,,,,,
Antibes,21060004500012,12-avr.,,,,15.3,
Antibes,21060004500012,13-avr.,,,14.3,,
Antibes,21060004500012,14-avr.,,14.3,,,
Antibes,21060004500012,15-avr.,,,,,
Antibes,21060004500012,16-avr.,,,,,
Antibes,21060004500012,17-avr.,,,,,15.9
Antibes,21060004500012,18-avr.,,,,,
Antibes,21060004500012,19-avr.,,,,15.3,
Antibes,21060004500012,20-avr.,,,15.4,,
Antibes,21060004500012,21-avr.,,,,,
Antibes,21060004500012,22-avr.,,14.7,,,
Antibes,21060004500012,23-avr.,,,,,
Antibes,21060004500012,24-avr.,,,,,16.0
Antibes,21060004500012,25-avr.,,,,,
Antibes,21060004500012,26-avr.,,,,17,
Antibes,21060004500012,27-avr.,,,16.1,,
Antibes,21060004500012,28-avr.,,15.1,,,
Antibes,21060004500012,29-avr.,,,,,
Antibes,21060004500012,30-avr.,,,,,
Antibes,21060004500012,1-mai,,,,,
Antibes,21060004500012,2-mai,,,,,
Antibes,21060004500012,3-mai,,,,18.4,
Antibes,21060004500012,4-mai,,,16.6,,
Antibes,21060004500012,5-mai,,16.1,,,
Antibes,21060004500012,6-mai,,,,,
Antibes,21060004500012,7-mai,,,,,
Antibes,21060004500012,8-mai,,,,,
Antibes,21060004500012,9-mai,,,,,
